"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 23 16:54:42 CST 2021","Thu Dec 23 16:54:42 CST 2021","4","TestCase","test_07_homework","","","","学生端提交作业：计数跑步","学生端提交运动记录，执行家庭作业内容"
"passed","Tue Dec 28 09:53:42 CST 2021","Tue Dec 28 09:53:42 CST 2021","97","TestCase","test_05_add_dailyGoals","","","","查看任务首页的每日目标完成进度","学生端再次查看任务首页，验证提交运动记录后是否跳绳、跑步、卡路里全部完成进度都是100%"
"passed","Tue Dec 28 09:53:43 CST 2021","Tue Dec 28 09:53:43 CST 2021","112","TestCase","test_06_add_plan","","","","老师端今日计划详情","创建计划时的计划选择条件是接口返回的"
"passed","Tue Dec 28 09:53:49 CST 2021","Tue Dec 28 09:53:50 CST 2021","159","TestCase","test_08_sports","","","","提交运动：自由跑步300米，用时50秒","提交运动记录，包括计时、计数、自由模式的跳绳、跑步"
"passed","Tue Dec 28 09:53:38 CST 2021","Tue Dec 28 09:53:39 CST 2021","70","TestCase","test_03_join_school","","","","教师申请列表接口","web管理后台admin查询教师申请列表页面，并且提取申请记录的review_id"
"passed","Tue Dec 28 09:53:41 CST 2021","Tue Dec 28 09:53:41 CST 2021","54","TestCase","test_05_add_dailyGoals","","","","学生端查询当前月份有任务的日期","学生端查看日程表当前月份有任务的日期"
"passed","Tue Dec 28 09:53:38 CST 2021","Tue Dec 28 09:53:38 CST 2021","62","TestCase","test_01_login","","","","用户登入接口-v.12  学生","测试学生角色用户登录，采用正向和反向场景来针对手机号和用户类型id进行组合后验证"
"passed","Tue Dec 28 09:53:38 CST 2021","Tue Dec 28 09:53:38 CST 2021","55","TestCase","test_02_add_school","","","","学校列表查询","查询学校列表页面新创建的学校，并获取该学校的school_id"
"passed","Tue Dec 28 09:53:43 CST 2021","Tue Dec 28 09:53:43 CST 2021","190","TestCase","test_06_add_plan","","","","老师端终止计划","老师端手动终止进行中的"
"passed","Tue Dec 28 09:53:41 CST 2021","Tue Dec 28 09:53:41 CST 2021","124","TestCase","test_05_add_dailyGoals","","","","学生端提交运动：计时跳绳","学生端提交运动记录，执行每日目标的任务"
"passed","Tue Dec 28 09:53:39 CST 2021","Tue Dec 28 09:53:39 CST 2021","146","TestCase","test_04_join_class","","","","老师端更新学生审批状态","老师端更新学生申请记录状态为通过，并且通过查询数据库该申请记录，验证通过申请"
"passed","Tue Dec 28 09:53:41 CST 2021","Tue Dec 28 09:53:41 CST 2021","107","TestCase","test_05_add_dailyGoals","","","","学生端提交运动：自由跳绳","学生端提交运动记录，执行每日目标的任务"
"passed","Tue Dec 28 09:53:49 CST 2021","Tue Dec 28 09:53:49 CST 2021","193","TestCase","test_08_sports","","","","提交运动：计时跳绳1分30秒","提交运动记录，包括计时、计数、自由模式的跳绳、跑步"
"passed","Tue Dec 28 09:53:41 CST 2021","Tue Dec 28 09:53:42 CST 2021","125","TestCase","test_05_add_dailyGoals","","","","学生端提交运动：计时跑步","学生端提交运动记录，执行每日目标的任务"
"passed","Tue Dec 28 09:53:38 CST 2021","Tue Dec 28 09:53:38 CST 2021","51","TestCase","test_01_login","","","","系统管理员登录","测试admin角色用户登录管理后台，采用正向和反向场景来针对手机号和用户类型id进行组合后验证"
"passed","Tue Dec 28 09:53:47 CST 2021","Tue Dec 28 09:53:47 CST 2021","81","TestCase","test_08_sports","","","","跑步300m--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:43 CST 2021","Tue Dec 28 09:53:43 CST 2021","152","TestCase","test_06_add_plan","","","","查看任务首页的计划完成进度","老师端再次查看任务首页，验证提交运动记录后运动计划完成进度是否大于0%"
"passed","Tue Dec 28 09:53:50 CST 2021","Tue Dec 28 09:53:51 CST 2021","196","TestCase","test_09_delete_school","","","","删除班级","删除班级"
"passed","Tue Dec 28 09:53:43 CST 2021","Tue Dec 28 09:53:43 CST 2021","132","TestCase","test_06_add_plan","","","","老师端提交运动：计时跳绳","老师端提交运动记录，执行每日目标的任务"
"passed","Tue Dec 28 09:53:38 CST 2021","Tue Dec 28 09:53:38 CST 2021","111","TestCase","test_03_join_school","","","","教师入校申请接口","预设教师手机号登录后，提交入校申请，并且从数据库验证申请记录是否存在"
"passed","Tue Dec 28 09:53:45 CST 2021","Tue Dec 28 09:53:45 CST 2021","57","TestCase","test_08_sports","","","","运动列表页面接口","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:39 CST 2021","Tue Dec 28 09:53:39 CST 2021","66","TestCase","test_03_join_school","","","","删除教师审批记录接口","web管理后台admin删除教师审批记录"
"passed","Tue Dec 28 09:53:47 CST 2021","Tue Dec 28 09:53:47 CST 2021","73","TestCase","test_08_sports","","","","跑步200m--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:45 CST 2021","Tue Dec 28 09:53:46 CST 2021","74","TestCase","test_08_sports","","","","跳绳半分钟--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:46 CST 2021","Tue Dec 28 09:53:46 CST 2021","65","TestCase","test_08_sports","","","","跳绳100个--预计消耗","获取运动首页的运动列表"
"passed","Tue Dec 28 09:53:40 CST 2021","Tue Dec 28 09:53:41 CST 2021","94","TestCase","test_05_add_dailyGoals","","","","学生端任务页首页每日目标：跳绳","学生端查看任务首页是否存在创建的每日目标"
"passed","Tue Dec 28 09:53:39 CST 2021","Tue Dec 28 09:53:39 CST 2021","48","TestCase","test_04_join_class","","","","老师端查询班级列表","老师端审批管理页面查询班级列表"
